"NO","gender","age","FD1","FD5","FD9","FD13","FD17","SD2","SD6","SD10","SD14","SD18","SD22","SD24","UP3","UP7","UP11","UP15","UP19","UP20","UP25","UP27","FW4","FW8","FW12","FW16","FW21","FW23","FW26","BFI_1","BFI_2","BFI_3","BFI_4","BFI_5","BFI_6","BFI_7","BFI_8","BFI_9","BFI_10","BFI_11","BFI_12","BFI_13","BFI_14","BFI_15","BFI_16","BFI_17","BFI_18","BFI_19","BFI_20","BFI_21","BFI_22","BFI_23","BFI_24","BFI_25","BFI_26","BFI_27","BFI_28","BFI_29","BFI_30","BFI_31","BFI_32","BFI_33","BFI_34","BFI_35","BFI_36","BFI_37","BFI_38","BFI_39","BFI_40","BFI_41","BFI_42","BFI_43","BFI_44","BFI_45","Extraversion","Agreabilite","Conscience","EmotionsNegatives","Ouverture","FD","SD","UP","FW"
"FRN",1,26,2,2,1,2,2,1,2,1,3,3,5,4,2,4,4,5,3,4,2,5,3,3,3,4,3,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,2.71428571428571,3.625,3.42857142857143
"FRN",1,24,2,4,2,2,2,4,3,3,4,3,5,3,3,4,2,4,2,3,2,3,4,4,4,2,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4,3.57142857142857,2.875,3
"FRN",1,23,3,1,1,2,1,2,1,2,4,3,2,1,1,3,3,2,2,3,2,4,4,4,4,4,3,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6,2.14285714285714,2.5,3.85714285714286
"FRN",1,24,4,3,4,3,4,1,1,1,2,3,1,4,4,5,4,1,3,4,2,2,2,4,4,4,3,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6,1.85714285714286,3.125,3.57142857142857
"FRN",1,22,3,2,1,2,2,3,2,2,4,3,4,3,4,4,4,3,3,4,2,4,2,4,3,2,3,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,3.5,2.85714285714286
"FRN",1,23,2,3,1,2,1,3,2,1,3,3,3,3,3,5,3,2,3,3,2,4,1,4,2,2,1,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,2.57142857142857,3.125,2.42857142857143
"FRN",1,21,2,2,2,1,1,1,2,2,2,1,5,5,3,4,3,5,5,3,3,5,2,3,4,3,2,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6,2.57142857142857,3.875,3
"FRN",1,25,1,1,1,2,4,2,1,1,3,3,5,5,4,4,5,4,3,4,3,3,3,4,3,2,5,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,2.85714285714286,3.75,3.57142857142857
"FRN",1,53,1,3,1,3,2,2,1,1,2,3,3,3,3,4,1,3,3,3,2,5,3,3,4,4,4,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2.14285714285714,3,3.28571428571429
"FRN",1,32,3,1,1,3,3,3,2,3,3,2,3,3,3,2,3,4,2,4,2,4,3,2,4,3,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2,2.71428571428571,3,2.71428571428571
