id,gender,age,FD1,SD2,UP3,FW4,FD5,SD6,UP7,FW8,FD9,SD10,UP11,FW12,FD13,SD14,UP15,FW16,FD17,SD18,UP19,UP20,FW21,SD22,FW23,SD24,UP25,FW26,UP27,FW,SD,FD,UN,FAC1_1,FAC2_1,FAC3_1,FAC4_1
403,1,26,2,1,2,3,2,2,4,3,1,1,4,3,2,3,5,4,2,3,3,4,3,5,4,4,2,4,5,3.428571429,2.714285714,1.8,3.625,-0.409102351,0.562215402,-0.876426632,-0.410478698
405,1,24,2,4,3,4,4,3,4,4,2,3,2,4,2,4,4,2,2,3,2,3,2,5,2,3,2,3,3,3,3.571428571,2.4,2.875,0.623732028,-0.191671304,0.753620891,1.37045033
406,1,23,3,2,1,4,1,1,3,4,1,2,3,4,2,4,2,4,1,3,2,3,3,2,3,1,2,5,4,3.857142857,2.142857143,1.6,2.5,-0.534586251,0.856255329,0.894072395,-1.037218457
407,1,24,4,1,4,2,3,1,5,4,4,1,4,4,3,2,1,4,4,3,3,4,3,1,5,4,2,3,2,3.571428571,1.857142857,3.6,3.125,2.279083421,0.353242185,-0.069874678,-1.423117138
408,1,22,3,3,4,2,2,2,4,4,1,2,4,3,2,4,3,2,2,3,3,4,3,4,2,3,2,4,4,2.857142857,3,2,3.5,-0.147463384,-0.698425691,-0.670384675,0.555533457
410,1,23,2,3,3,1,3,2,5,4,1,1,3,2,2,3,2,2,1,3,3,3,1,3,4,3,2,3,4,2.428571429,2.571428571,1.8,3.125,-0.381264348,-1.279823803,-0.069917781,-0.068676258
412,1,21,2,1,3,2,2,2,4,3,2,2,3,4,1,2,5,3,1,1,5,3,2,5,3,5,3,4,5,3,2.571428571,1.6,3.875,-0.48773921,-0.341968478,-1.212343332,-0.407503467
414,1,25,1,2,4,3,1,1,4,4,1,1,5,3,2,3,4,2,4,3,3,4,5,5,4,5,3,4,3,3.571428571,2.857142857,1.8,3.75,-0.298154808,0.520818861,-1.195276375,0.20261071
417,1,53,1,2,3,3,3,1,4,3,1,1,1,4,3,2,3,4,2,3,3,3,4,3,2,3,2,3,5,3.285714286,2.142857143,2,3,-0.228797246,0.111703643,0.279970807,-1.201659206
418,1,32,3,3,3,3,1,2,2,2,1,3,3,4,3,3,4,3,3,2,2,4,2,3,3,3,2,2,4,2.714285714,2.714285714,2.2,3,0.336347328,-0.85776416,0.308467723,-0.025877304
419,1,23,4,2,3,3,4,3,3,3,3,2,2,4,3,3,3,4,3,3,3,4,4,3,4,2,3,3,3,3.571428571,2.571428571,3.4,3,2.024377102,0.599248275,0.31494476,-0.484302188
420,1,21,2,4,1,4,3,2,5,4,2,3,2,2,4,3,2,4,4,4,3,4,2,4,2,5,3,4,3,3.142857143,3.571428571,3,2.875,1.308691947,-0.081260623,0.457984908,1.491012861
423,1, ,2,1,1,2,1,2,5,3,2,1,2,3,3,4,4,4,1,2,3,3,3,3,2,2,2,3,5,2.857142857,2.142857143,1.8,3.125,-0.54450051,-0.158389626,-0.08393758,-1.527860862
424,1,20,3,2,4,4,3,2,5,5,3,2,5,5,4,3,5,5,5,5,5,3,3,4,3,4,4,5,5,4.285714286,3.142857143,3.6,4.5,2.034235638,1.965282609,-2.285971441,-0.066261943
425,1,24,1,1,3,4,1,1,3,5,1,1,2,3,1,2,3,2,1,2,2,3,2,3,1,2,2,2,5,2.714285714,1.714285714,1,2.875,-1.551698545,-0.895176808,0.550492307,-1.629529321
426,1,31,1,3,1,2,1,4,3,4,1,2,1,3,1,3,1,2,3,4,1,5,4,4,2,3,1,3,2,2.857142857,3.285714286,1.4,1.875,-0.703112474,-0.431813179,2.119355663,0.72874599
431,1,39,2,1,2,2,1,1,5,2,1,1,2,3,2,3,2,4,3,2,2,2,3,2,2,2,3,2,4,2.571428571,1.714285714,1.8,2.75,-0.511600343,-0.886391006,0.475073621,-2.004414454
432,1,22,1,4,4,4,2,2,5,4,1,4,4,4,2,4,4,4,2,4,4,3,5,4,2,4,4,4,4,3.857142857,3.714285714,1.6,4,-0.386522176,1.05419763,-1.233406348,1.546202284
434,1,24,2,3,4,1,2,2,5,2,2,2,2,4,2,3,3,2,3,3,2,5,2,2,2,4,2,2,3,2.142857143,2.714285714,2.2,3.25,0.42258706,-1.674429414,-0.02293559,-0.126513468
437,1,30,2,1,3,2,2,1,5,4,1,1,3,5,1,4,4,4,1,3,4,3,2,3,3,3,2,4,5,3.428571429,2.285714286,1.4,3.625,-0.942871434,0.497913396,-0.945298505,-1.09915913
440,1,28,3,2,2,1,2,1,5,5,1,1,3,4,2,3,3,3,4,4,3,2,3,5,2,4,2,2,4,2.857142857,2.857142857,2.4,3,0.092054341,-0.233892873,-0.087962499,-0.168568181
441,1,20,4,1,3,3,2,1,3,5,2,4,4,4,2,1,3,3,1,3,3,3,5,3,2,1,2,3,2,3.571428571,2,2.2,2.875,0.77942841,0.328026743,0.630751554,-1.169195547
442,1,38,3,2,4,2,2,1,2,2,1,1,3,3,1,3,3,2,1,2,4,3,2,3,2,3,2,1,4,2,2.142857143,1.6,3.125,-0.597695712,-2.015764462,-0.179049567,-0.873495333
444,1,20,1,3,3,4,1,2,5,5,1,2,2,2,2,2,4,1,2,3,4,1,2,4,2,4,1,5,5,3,2.857142857,1.4,3.125,-1.153301548,-0.255685847,0.177420517,-0.016890995
446,1,18,3,1,2,3,2,1,5,4,2,1,5,4,2,2,4,4,3,2,4,4,3,1,2,2,4,4,5,3.428571429,1.428571429,2.4,4.125,0.580386358,0.202915471,-1.662506829,-2.618492665
448,1,21,3,3,2,4,1,2,5,4,2,1,2,5,3,5,5,2,3,3,4,5,1,2,2,4,2,4,4,3.142857143,2.857142857,2.4,3.625,0.363538796,0.129020283,-0.876543411,-0.268148893
