"NO","age","gender","FD1","SD2","UP3","FW4","FD5","SD6","UP7","FW8","FD9","SD10","UP11","FW12","FD13","SD14","UP15","FW16","FD17","SD18","UP19","UP20","FW21","SD22","FW23","SD24","UP25","FW26","UP27","LOC_1","LOC_2","LOC_3","LOC_4","LOC_5","LOC_6","LOC_7"
"JPN2",25,2,1,2,2,2,2,2,1,4,2,3,4,2,3,3,4,5,2,3,4,3,4,4,4,4,2,3,4,3,4,5,4,5,4,4
"JPN2",31,2,2,4,3,3,3,2,4,4,2,2,4,3,4,3,4,4,4,4,3,4,3,3,2,4,4,3,5,4,4,4,5,4,5,5
"JPN2",32,2,2,4,3,2,1,2,3,2,2,4,3,1,1,4,2,2,3,4,2,4,4,4,3,4,4,4,3,2,7,4,2,6,5,6
"JPN2",43,2,4,4,4,4,4,4,4,5,3,4,4,2,4,4,4,4,4,4,4,4,4,5,4,5,4,4,4,5,6,4,5,5,5,5
"JPN2",20,1,1,2,3,2,2,1,5,3,1,1,1,5,1,2,5,3,4,2,3,4,4,2,3,4,1,4,5,3,5,2,5,4,7,6
"JPN2",27,2,2,2,3,2,2,4,4,3,3,2,5,2,2,3,4,3,4,2,5,4,2,2,4,3,2,2,5,3,3,3,4,4,5,5
"JPN2",39,2,1,2,4,1,1,1,3,3,2,1,4,2,3,2,4,3,5,2,3,4,1,3,3,2,3,2,4,4,5,4,4,2,3,6
"JPN2",40,2,2,2,2,4,3,3,4,3,2,2,4,4,3,4,4,3,3,2,3,3,3,3,3,3,3,3,4,3,3,4,4,5,4,5
"JPN2",43,2,4,4,4,2,4,4,3,4,3,2,5,2,4,4,4,5,3,2,4,4,3,3,4,5,4,3,4,5,6,3,2,5,5,5
"JPN2",23,1,1,5,5,1,1,1,5,1,1,4,5,5,5,4,5,5,5,4,4,5,5,1,2,2,5,2,5,4,3,4,3,7,7,7
"JPN2",34,2,3,3,3,3,3,4,4,4,3,4,4,4,5,3,4,5,3,3,4,3,5,4,4,4,3,3,4,3,3,4,4,4,4,4
"JPN2",25,2,2,1,4,2,2,1,5,4,2,2,4,1,2,2,5,3,2,1,4,2,2,4,3,2,2,2,5,2,5,2,2,6,7,4
"JPN2",33,1,2,5,2,4,2,1,4,4,4,2,4,2,4,5,4,5,4,2,5,5,4,5,4,5,4,2,5,5,5,5,3,3,6,6
"JPN2",31,1,3,1,2,4,2,2,1,2,3,3,2,3,3,4,2,2,3,5,2,3,2,4,3,5,3,4,2,3,2,4,5,4,5,3
"JPN2",22,2,4,2,5,2,4,4,4,2,4,4,4,2,5,2,4,2,5,2,4,4,2,4,3,5,4,2,4,7,7,6,6,4,6,5
"JPN2",44,2,2,4,3,2,2,2,4,5,2,4,3,3,3,2,4,5,1,2,3,4,4,4,5,4,3,5,4,2,2,2,6,6,6,6
"JPN2",49,2,4,4,4,4,4,3,4,4,3,3,4,3,3,4,4,4,4,4,3,3,4,4,4,4,3,3,4,5,5,5,5,4,4,4
"JPN2",26,2,2,4,5,4,4,5,5,4,4,4,5,4,5,4,5,2,5,2,4,5,4,4,5,5,4,4,5,2,5,6,6,5,7,6
