"lhs" "op" "rhs" "est.std" "se" "z" "pvalue" "ci.lower" "ci.upper"
"1" "FD" "=~" "FD1" 0.571879557728091 0.0279496804496662 20.4610410039561 0 0.517099190667342 0.62665992478884
"2" "FD" "=~" "FD5" 0.684099041107911 0.0245275302401257 27.8910691133819 0 0.636025965207547 0.732172117008274
"3" "FD" "=~" "FD9" 0.736001874377021 0.0231370480513464 31.810534893806 0 0.690654093487809 0.781349655266233
"4" "FD" "=~" "FD13" 0.587347004488832 0.0274651705041098 21.3851577728579 0 0.533516259471525 0.641177749506139
"5" "FD" "=~" "FD17" 0.456902449706061 0.0313395466321193 14.5791020868754 0 0.395478067015293 0.518326832396828
"6" "SD" "=~" "SD2" 0.627003617560154 0.0321229205970076 19.5188857646575 0 0.56404385011178 0.689963385008529
"7" "SD" "=~" "SD6" 0.186638588649422 0.0395138539018071 4.72337092487165 2.3196720564389e-06 0.109192858111502 0.264084319187341
"8" "SD" "=~" "SD10" 0.609891446084453 0.0323314036494928 18.8637478501191 0 0.54652305936182 0.673259832807085
"9" "SD" "=~" "SD14" 0.335296177760003 0.0374031885085682 8.96437419187392 0 0.261987275376247 0.408605080143759
"10" "SD" "=~" "SD18" 0.256973130710768 0.0386490046611726 6.64889388390711 2.95303781427947e-11 0.181222473536549 0.332723787884987
"11" "SD" "=~" "SD22" 0.431780079300712 0.0355488687684909 12.1460989972042 0 0.362105576823329 0.501454581778095
"12" "SD" "=~" "SD24" 0.462097400282369 0.0349253061044182 13.2310193331108 0 0.393645058168672 0.530549742396066
"13" "UP" "=~" "UP3" 0.464103798331271 0.0314714326611235 14.7468278082102 0 0.402420923773592 0.525786672888951
"14" "UP" "=~" "UP7" 0.372310496011017 0.0337589096029579 11.0285107069452 0 0.306144249031876 0.438476742990158
"15" "UP" "=~" "UP11" 0.659133137892739 0.0256829316939704 25.6642483711267 0 0.608795516755155 0.709470759030323
"16" "UP" "=~" "UP15" 0.395853569653942 0.0332135601762905 11.9184323376608 0 0.330756187910059 0.460950951397825
"17" "UP" "=~" "UP19" 0.701636006005014 0.0244722881171408 28.6706336018321 0 0.65367120267613 0.749600809333897
"18" "UP" "=~" "UP20" 0.442825031638318 0.0320390733318774 13.8214057270417 0 0.3800296018098 0.505620461466835
"19" "UP" "=~" "UP25" 0.574869778846605 0.0282361448605383 20.3593578969776 0 0.519527951857694 0.630211605835516
"20" "UP" "=~" "UP27" 0.283550176802589 0.0355360039887833 7.97923640745005 1.55431223447522e-15 0.213900888830103 0.353199464775076
"21" "FW" "=~" "FW4" 0.507125480722914 0.0315796570642995 16.058612659737 0 0.445230490232761 0.569020471213067
