"FD" "SD" "UP" "FW" "FD1" "FD5" "FD9" "FD13" "FD17" "SD2" "SD6" "SD10" "SD14" "SD18" "SD22" "SD24" "UP3" "UP7" "UP11" "UP15" "UP19" "UP20" "UP25" "UP27" "FW4" "FW8" "FW12" "FW16" "FW21" "FW23" "FW26" "FD" "SD" "UP" "FW" "FD1" "FD5" "FD9" "FD13" "FD17" "SD2" "SD6" "SD10" "SD14" "SD18" "SD22" "SD24" "UP3" "UP7" "UP11" "UP15" "UP19" "UP20" "UP25" "UP27" "FW4" "FW8" "FW12" "FW16" "FW21" "FW23" "FW26"
"FD" "1" "0.369809473350738" "0.29367045048819" "-0.0156848752536161" "0.771832813181403" "0.681711364561675" "0.813670079417501" "0.676127557777939" "0.521933007799601" "0.348824199030251" "0.0824104748930905" "0.424651696811434" "0.178426271918999" "0.0754188494213265" "0.123852861879574" "0.168726610197861" "0.302412651480678" "0.035317263637881" "0.157051329296633" "0.116566701868238" "0.20504716873387" "0.238834709234767" "0.196428930250637" "0.10768949868159" "-0.0158448926018516" "0.0307220817077842" "-0.0873380674871774" "0.00784678196538023" "0.00172158065742872" "-0.000279369938032603" "0.00208284807211697" "1" "0" "0" "0" "1" "1" "1" "1" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"SD" "0.369809473350738" "1" "0.220090348894339" "0.221483007325683" "0.270145330074474" "0.236261038040645" "0.346896020824406" "0.234496110654683" "0.189331485129915" "0.601235718216596" "0.42836020210534" "0.61528043258921" "0.583130470772849" "0.403526859315342" "0.607507409903701" "0.596810248371211" "0.254011028487007" "0.0266262389486931" "0.124291322356173" "0.0328632509703443" "0.173370827596459" "0.21366230616677" "0.156227747071873" "0.0440941713702331" "0.134230818442743" "0.115454713703836" "0.0955393354049361" "0.148044011071857" "0.158441043346633" "0.148046815142098" "0.116172042978785" "0" "1" "0" "0" "0" "0" "0" "0" "0" "1" "0" "1" "1" "0" "1" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"UP" "0.29367045048819" "0.220090348894339" "1" "0.209615690668634" "0.178135605521195" "0.190361443055473" "0.204496700004629" "0.215815917906284" "0.234567468584355" "0.178196673692369" "0.00231532090305436" "0.155255021520887" "0.0456561285171152" "0.173202104849989" "0.140821909880768" "0.158775684044202" "0.487445465605585" "0.560836993792345" "0.634017316996128" "0.665601921621734" "0.658789086515436" "0.441696142021307" "0.502853596527833" "0.61088344227449" "0.151378305717224" "0.132876890045949" "0.101605630496284" "0.192853927001182" "0.17997794995056" "0.0137933893439028" "0.064648184796343" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "1" "1" "1" "0" "1" "1" "0" "0" "0" "0" "0" "0" "0"
"FW" "-0.0156848752536161" "0.221483007325683" "0.209615690668634" "1" "0.0166820904263159" "-0.130480309086354" "0.0312877601303034" "-0.070104244968494" "0.0727021320656502" "0.0270148484327343" "0.164492229231974" "-0.0292114543963303" "0.12157488405501" "0.24951963669576" "0.221665019503549" "0.113526272436038" "-0.0153956754263637" "0.212696370125022" "0.122059371981771" "0.191954390934602" "0.214937695024065" "0.0148372061521193" "0.0263079713926596" "0.171808717737775" "0.568944210466961" "0.645548787841266" "0.636842620337777" "0.657596217700147" "0.596546739366878" "0.530108381266846" "0.456628782734944" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "1" "1" "1" "1" "1" "0"
"FD1" "0.771832813181403" "0.270145330074474" "0.178135605521195" "0.0166820904263159" "1" "0.390606721986432" "0.627181079416543" "0.37780866329308" "0.215116837134725" "0.326812262717019" "0.038229862139639" "0.28290521806149" "0.11599483669422" "0.0649605030777283" "0.0917277414768783" "0.0999295619019804" "0.214809117391847" "0.0281408758214255" "0.0659188250493087" "0.0419207157179919" "0.118586313776955" "0.174196502683049" "0.138531563935189" "0.0481318978975128" "-0.0143044340171003" "0.0352991496418797" "-0.0274946064833748" "0.0283221860307196" "0.0243541928505962" "0.0335539030871413" "-0.00961260272943703" "1" "0" "0" "0" "1" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"FD5" "0.681711364561675" "0.236261038040645" "0.190361443055473" "-0.130480309086354" "0.390606721986432" "1" "0.431458699008985" "0.504011084997716" "0.120076248427176" "0.203003135639134" "0.0834425506381077" "0.318807768173332" "0.131135168227368" "-0.0186854409113177" "0.068371455112893" "0.103681369508433" "0.224768443639038" "0.00231065209221732" "0.0812653107468455" "0.0702552366169837" "0.123132982181184" "0.116444778193015" "0.167142197040259" "0.0972446670984302" "-0.0296881538154685" "-0.0603270780631307" "-0.185468712219777" "-0.0597465129638487" "-0.0758968363217439" "-0.0741795984526221" "-0.0461784065983054" "1" "0" "0" "0" "0" "1" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"FD9" "0.813670079417501" "0.346896020824406" "0.204496700004629" "0.0312877601303034" "0.627181079416543" "0.431458699008985" "1" "0.416362896858127" "0.301141904492951" "0.304721687652351" "0.0850908998973038" "0.391414469802453" "0.161078340376667" "0.0942738100109961" "0.139090349553446" "0.142471169535264" "0.221845542528847" "0.0138809613780211" "0.127021772978631" "0.0679373900557366" "0.136875736958809" "0.188731645536731" "0.130758267327707" "0.0610201825582968" "-0.00757385926551629" "0.0692415569457616" "-0.0261362386795754" "0.0348244230488032" "0.0150161184714854" "0.0232240834689271" "0.0204296835180496" "1" "0" "0" "0" "1" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"FD13" "0.676127557777939" "0.234496110654683" "0.215815917906284" "-0.070104244968494" "0.37780866329308" "0.504011084997716" "0.416362896858127" "1" "0.134081168716863" "0.172372014192126" "0.0518265980275351" "0.332261902951186" "0.125159145176366" "-0.0172056048979925" "0.0814987557499476" "0.142335513118839" "0.180021856929267" "0.0496776928809517" "0.101789630371674" "0.0963563362616881" "0.150024358494816" "0.114760764124992" "0.19033584216896" "0.117237782304832" "-0.00816944927522578" "-0.00297253164303602" "-0.147397934167885" "-0.0242406554786628" "-0.00499975260422833" "-0.0525711415494224" "-0.0488350801976924" "1" "0" "0" "0" "0" "1" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"FD17" "0.521933007799601" "0.189331485129915" "0.234567468584355" "0.0727021320656502" "0.215116837134725" "0.120076248427176" "0.301141904492951" "0.134081168716863" "1" "0.184711426555633" "0.0309794423458961" "0.157072136810215" "0.0876695194145832" "0.119286719186419" "0.0452369613667433" "0.100517676163906" "0.207811106850575" "0.0294925572302804" "0.168613764328142" "0.133009860162849" "0.185291403792615" "0.222915866514469" "0.0671731839059988" "0.0615097476003637" "0.00285182756807369" "0.0500714255790599" "0.0530430932920846" "0.0338599004290652" "0.0353145647946173" "0.0501988630401423" "0.0794761375767406" "1" "0" "0" "0" "0" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"SD2" "0.348824199030251" "0.601235718216596" "0.178196673692369" "0.0270148484327343" "0.326812262717019" "0.203003135639134" "0.304721687652351" "0.172372014192126" "0.184711426555633" "1" "0.0920945373347172" "0.429801331884349" "0.219974929568491" "0.100976028866874" "0.220040114811298" "0.188110988195956" "0.225942713999415" "0.0304715393985277" "0.088190259129143" "0.0272925908785424" "0.126108072287996" "0.19314027450554" "0.104154952118464" "0.0321502084976832" "-0.009401033516047" "0.003289291170547" "-0.00150307666902566" "0.0539018371807107" "0.0110422934534946" "0.0429493731775484" "0.0135894015277688" "0" "1" "0" "0" "0" "0" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"SD6" "0.0824104748930905" "0.42836020210534" "0.00231532090305436" "0.164492229231974" "0.038229862139639" "0.0834425506381077" "0.0850908998973038" "0.0518265980275351" "0.0309794423458961" "0.0920945373347172" "1" "0.0763168855234687" "0.225611865447868" "0.0566132852294393" "0.0845612540934781" "0.0753250427833668" "0.0959952031705041" "-0.0919694065645322" "-0.0181924063011179" "-0.0826559259263707" "0.0853765441337241" "-0.0128382851969458" "0.134452929182523" "-0.0781457675273025" "0.197227429072121" "0.0621839528719828" "0.171670231948362" "0.0432981282444193" "0.130836907644388" "-0.033119099876599" "0.0867806603740131" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"SD10" "0.424651696811434" "0.61528043258921" "0.155255021520887" "-0.0292114543963303" "0.28290521806149" "0.318807768173332" "0.391414469802453" "0.332261902951186" "0.157072136810215" "0.429801331884349" "0.0763168855234687" "1" "0.23776245346415" "0.0619349508062541" "0.245958189502243" "0.287706098607622" "0.196548974258813" "-0.00102738689069682" "0.0944354384118643" "0.00621914864863187" "0.105359933997176" "0.189758707134797" "0.13432707181672" "0.00502916811558782" "0.0180908578087179" "0.00847628331487284" "-0.117050018934057" "0.0164795393647732" "0.00082627580282158" "-0.00578195889350671" "-0.0409399405646028" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"SD14" "0.178426271918999" "0.583130470772849" "0.0456561285171152" "0.12157488405501" "0.11599483669422" "0.131135168227368" "0.161078340376667" "0.125159145176366" "0.0876695194145832" "0.219974929568491" "0.225611865447868" "0.23776245346415" "1" "0.0989983099019748" "0.213467182417459" "0.215398741601041" "0.135196958715725" "-0.0308312762804127" "0.0146300577347684" "-0.0164490867914531" "0.0149903190879534" "0.0590980790267243" "0.0273562396039884" "0.0075199348670753" "0.0556620022562837" "0.0915543577033343" "0.0477974768965662" "0.0620236193413832" "0.0659146461288793" "0.0824485889426814" "0.102020084195919" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"SD18" "0.0754188494213265" "0.403526859315342" "0.173202104849989" "0.24951963669576" "0.0649605030777283" "-0.0186854409113177" "0.0942738100109961" "-0.0172056048979925" "0.119286719186419" "0.100976028866874" "0.0566132852294393" "0.0619349508062541" "0.0989983099019748" "1" "0.163419161484552" "0.144525386590109" "0.0360922540823703" "0.127194513059443" "0.130951358971773" "0.101790138616335" "0.171267702990442" "0.122418759182563" "-0.0113484989270772" "0.106536224824298" "0.107033086362891" "0.147370859335669" "0.145486283951902" "0.201226635422652" "0.111860691239914" "0.206571927709302" "0.110976899561303" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"SD22" "0.123852861879574" "0.607507409903701" "0.140821909880768" "0.221665019503549" "0.0917277414768783" "0.068371455112893" "0.139090349553446" "0.0814987557499476" "0.0452369613667433" "0.220040114811298" "0.0845612540934781" "0.245958189502243" "0.213467182417459" "0.163419161484552" "1" "0.425464174248496" "0.132332458408976" "0.0434565770259971" "0.0755101963419678" "0.04653483122661" "0.0819163002463891" "0.110031141800234" "0.104458978310926" "0.058315380273136" "0.107828115280077" "0.106475720770197" "0.10336993968642" "0.138172760345764" "0.181625157497" "0.175852386488667" "0.107831851400514" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
