"dataset","session","gender","age","edu","faEdu","moEdu","faOccu","moOccu","FD1","SD2","UP3","FW4","FD5","SD6","UP7","FW8","FD9","SD10","UP11","FW12","FD13","SD14","UP15","FW16","FD17","SD18","UP19","UP20","FW21","check","SD22","FW23","SD24","UP25","FW26","UP27"
1,1,NA,NA,5,3,NA,3,NA,2,2,2,3,2,2,3,3,2,2,2,3,2,2,2,3,2,3,3,3,2,3,4,4,3,2,3,3
1,1,2,20,5,4,3,1,1,2,2,2,2,2,2,3,3,2,2,5,3,1,3,2,3,1,1,1,4,3,3,3,4,2,3,2,3
1,1,2,21,5,3,3,2,1,3,2,2,1,2,2,3,4,2,1,3,4,2,3,4,3,3,4,4,3,4,3,3,4,3,4,4,3
1,1,1,20,5,4,4,5,5,4,5,4,5,1,3,3,5,4,4,4,1,3,5,4,5,5,4,2,4,4,3,5,5,4,3,3,4
1,1,1,20,5,2,3,1,1,2,2,4,2,2,2,4,4,2,2,4,5,2,4,4,4,1,4,3,4,2,1,4,4,4,2,4,4
1,1,1,21,5,4,4,5,1,1,1,1,3,1,2,4,5,1,2,4,4,1,5,1,4,3,4,4,4,3,3,3,5,4,2,3,3
1,1,1,23,5,3,2,1,1,2,3,1,4,1,2,3,4,2,3,3,4,1,2,3,5,2,4,4,3,2,3,4,4,4,2,2,3
1,1,1,20,5,5,3,2,1,3,2,2,3,2,3,3,5,3,3,3,3,3,3,2,5,4,3,2,1,3,4,2,5,1,2,2,5
1,1,1,23,5,2,2,1,1,1,2,2,3,1,1,5,4,1,1,2,5,1,3,4,5,2,3,2,4,5,2,3,4,1,3,4,5
1,1,1,22,5,2,2,2,1,2,2,2,4,3,2,4,2,3,4,4,2,2,2,2,2,4,2,4,2,4,3,2,4,2,2,4,2
1,1,1,20,5,4,3,2,1,2,4,2,3,2,2,4,4,3,3,3,3,3,3,4,3,3,4,3,3,3,2,2,3,3,3,3,4
1,1,1,20,5,3,3,2,2,2,3,4,2,2,2,3,3,2,2,2,3,2,3,3,3,4,4,3,3,3,3,4,3,3,2,4,2
1,1,1,21,5,4,3,3,1,5,3,5,3,5,4,5,1,5,5,5,1,5,5,5,1,4,5,5,5,1,3,4,4,4,3,5,5
1,1,2,20,5,2,2,1,1,2,3,2,4,1,2,3,3,2,3,4,4,2,4,4,3,3,4,3,4,3,3,4,4,4,3,4,3
1,1,1,20,5,5,3,3,3,2,3,4,2,2,2,4,3,2,3,4,4,2,4,4,2,4,4,2,4,2,2,4,3,4,3,3,3
1,1,2,20,5,5,4,5,3,2,2,3,2,2,2,4,3,2,2,3,2,2,3,4,3,3,2,2,2,2,3,2,4,3,3,2,4
1,1,1,20,5,5,3,2,2,2,3,4,2,3,2,3,2,3,3,4,2,3,2,4,3,4,4,4,5,2,3,3,4,4,2,3,4
1,1,1,21,5,4,5,4,4,1,5,3,2,1,2,3,2,3,1,4,4,2,4,4,4,3,4,3,4,5,1,3,4,4,2,4,2
1,1,2,22,5,3,3,1,1,1,2,2,5,1,2,4,4,1,2,4,4,2,3,4,3,2,5,2,2,5,3,3,4,3,3,4,5
1,1,2,18,5,5,4,5,4,2,4,2,3,2,2,5,3,2,4,4,4,3,2,4,2,4,4,4,3,2,3,4,4,4,2,3,3
1,1,2,19,5,3,3,2,1,1,2,2,2,1,2,2,3,1,2,2,4,2,2,2,3,4,3,3,4,3,3,2,4,3,2,4,2
1,1,2,30,5,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,3,1,2,2,2,2,2,2
1,1,1,21,5,5,5,5,4,1,4,2,2,1,2,3,4,2,3,3,4,2,2,2,4,2,4,2,3,3,3,4,3,4,2,5,3
1,1,2,20,5,3,2,4,1,2,2,3,2,2,2,3,3,2,2,2,4,2,2,4,3,4,4,4,4,3,3,3,4,3,2,4,4
1,1,2,17,5,2,5,4,4,1,2,4,4,1,1,4,2,1,1,5,5,1,1,4,2,4,4,4,2,1,1,2,4,2,2,4,4
1,1,1,21,5,3,1,1,1,2,4,2,2,2,5,3,2,2,2,2,4,2,3,2,2,3,4,2,4,4,3,4,4,5,2,4,2
1,1,2,19,5,5,4,4,4,3,4,3,3,2,1,2,3,2,3,3,2,2,2,2,2,4,4,3,4,3,3,3,4,3,2,2,2
1,1,2,19,5,3,3,2,3,2,4,2,4,2,3,5,4,4,3,3,3,1,3,4,5,3,4,4,3,3,3,4,4,4,2,3,4
1,1,1,19,5,2,3,2,3,1,2,2,4,1,1,1,2,1,2,4,4,2,2,4,3,4,4,4,3,4,3,2,3,4,3,2,4
1,1,1,20,5,3,2,1,1,3,2,4,2,2,2,5,4,3,2,4,4,2,3,4,4,4,4,4,3,3,3,4,4,2,3,4,4
1,1,2,20,5,2,3,2,1,2,3,2,3,1,1,4,5,2,3,4,2,2,4,4,3,4,3,2,4,4,3,4,4,3,1,4,4
1,1,2,20,5,5,4,4,4,2,4,1,2,1,2,4,2,2,4,4,4,2,4,4,4,2,4,4,4,4,3,4,4,4,2,4,4
1,1,1,20,5,6,5,5,4,1,3,4,4,1,4,4,4,2,4,3,2,1,4,3,4,3,4,4,5,2,3,3,4,4,2,5,2
1,1,1,21,5,5,4,4,3,1,1,3,1,1,1,1,3,3,3,5,1,3,4,2,4,4,4,2,3,2,3,4,4,4,2,2,2
1,1,2,18,5,5,4,5,4,3,4,2,2,1,3,2,2,3,2,4,5,1,2,2,2,4,4,3,4,2,2,4,2,4,2,5,2
1,1,1,27,5,4,2,2,2,1,4,3,2,2,4,2,3,3,2,2,4,2,2,4,2,2,4,1,4,2,3,3,4,4,2,3,3
1,1,1,22,5,5,5,5,5,3,4,3,2,2,2,3,3,2,2,4,1,2,4,4,3,3,4,3,4,3,3,4,4,4,3,2,2
1,1,1,19,5,5,5,5,4,2,4,4,3,1,2,4,4,2,4,4,5,2,2,4,4,2,4,4,4,3,3,4,4,4,2,2,4
1,1,1,25,5,5,4,4,4,2,4,4,4,3,2,2,2,4,4,4,2,4,4,2,3,2,4,2,4,4,3,4,4,4,2,2,2
1,1,1,22,5,5,5,5,5,2,2,3,3,2,4,4,2,4,2,5,2,2,2,4,5,4,5,5,4,2,3,5,4,5,3,4,4
1,1,1,24,5,4,4,4,3,4,4,3,3,4,2,4,3,3,4,4,1,2,2,4,3,4,4,3,5,1,3,4,4,4,1,4,3
1,1,1,20,5,5,5,4,5,2,3,4,4,2,3,4,3,2,3,4,4,2,3,3,3,3,4,3,3,3,3,4,4,4,3,3,3
1,1,1,21,5,5,5,5,4,4,4,2,2,2,3,2,2,4,3,3,3,2,4,4,4,4,4,3,5,2,3,4,4,4,2,3,4
1,1,2,21,5,4,3,4,1,3,4,2,2,2,3,2,2,3,2,3,4,3,2,2,3,4,4,4,4,2,3,3,4,3,2,4,3
1,1,2,21,5,5,4,5,4,3,2,1,2,2,1,3,4,4,3,3,4,2,2,3,4,4,4,4,5,4,3,2,4,4,4,4,3
1,1,2,21,5,4,4,1,1,2,2,1,1,2,1,2,2,2,2,2,2,1,3,2,2,4,2,1,4,2,3,4,3,4,1,2,2
1,1,1,21,5,5,4,5,3,2,3,2,2,2,2,3,4,2,2,4,3,2,4,2,4,3,4,2,4,2,3,4,4,4,2,4,4
1,1,1,21,5,5,5,5,4,1,4,5,2,1,2,3,3,1,3,4,4,2,3,3,2,4,2,3,4,3,3,4,4,5,2,1,2
1,1,2,22,5,5,5,5,3,2,2,2,4,1,2,4,4,2,2,4,4,3,4,5,4,4,2,4,4,3,3,4,4,4,2,4,4
1,1,1,20,5,5,4,5,4,1,3,4,2,1,3,3,2,2,1,4,3,1,3,2,3,4,4,2,4,4,3,4,4,3,3,2,4
1,1,1,22,5,5,5,4,4,1,4,3,2,2,1,4,1,1,2,4,2,1,2,4,2,3,3,2,4,2,3,4,4,2,2,3,4
1,1,1,20,5,4,4,5,3,2,2,5,2,1,2,4,4,1,2,5,2,1,4,3,2,4,4,3,4,2,3,4,3,3,4,2,3
1,1,1,20,5,4,4,5,3,2,3,2,3,2,2,3,2,2,2,3,3,2,4,2,3,3,3,2,3,3,3,4,4,3,2,4,3
1,1,1,20,5,5,5,5,4,3,4,1,2,3,3,3,2,2,3,3,2,1,2,2,3,4,4,3,4,2,4,2,2,2,2,2,2
1,1,2,21,5,5,3,2,2,4,4,3,4,2,3,3,5,4,4,3,4,1,4,4,5,4,5,2,4,3,3,4,5,4,2,3,3
1,1,2,23,5,5,5,5,4,3,3,2,2,3,4,2,4,3,3,4,3,3,4,2,2,4,4,3,3,2,3,3,4,3,2,2,2
1,1,1,21,5,5,5,5,4,2,2,2,2,1,3,3,3,2,2,3,4,1,4,2,3,4,4,2,2,4,3,4,4,4,2,4,2
1,1,2,25,5,3,2,1,1,3,4,2,4,2,2,2,3,2,2,4,2,2,2,2,4,3,2,2,3,2,1,4,4,3,2,3,2
1,1,1,21,5,5,5,5,5,2,4,4,2,1,1,2,4,1,5,5,1,1,2,4,4,5,3,3,4,2,3,4,4,3,2,4,2
1,1,2,22,5,4,4,4,4,2,4,3,3,2,2,2,2,2,3,4,4,2,4,4,4,4,5,5,4,2,2,4,4,4,2,3,2
1,1,2,19,5,5,5,3,3,2,2,2,2,1,3,3,3,3,2,4,4,2,2,5,4,3,3,2,3,2,3,4,4,4,1,2,2
1,1,2,26,5,3,4,3,3,2,3,3,2,2,4,3,4,2,2,1,4,1,5,2,5,2,5,2,4,4,3,4,5,4,1,4,2
1,1,1,21,5,4,3,1,1,2,3,2,2,2,3,3,3,3,3,2,2,2,2,2,2,3,4,2,2,2,3,2,4,3,2,2,2
