"lhs" "op" "rhs" "est.std" "se" "z" "pvalue" "ci.lower" "ci.upper"
"1" "FD" "=~" "FD1" 0.755291552800416 0.0107381826824534 70.3369997638979 0 0.734245101483396 0.776338004117436
"2" "FD" "=~" "FD5" 0.617519088337092 0.0135989012855924 45.4094838522973 0 0.590865731588016 0.644172445086169
"3" "FD" "=~" "FD9" 0.784812231708358 0.0101703990799209 77.1663162419835 0 0.764878615803314 0.804745847613402
"4" "FD" "=~" "FD13" 0.533588758891678 0.0152379223799527 35.017159530467 0 0.503722979827754 0.563454537955602
"5" "FD" "=~" "FD17" 0.390550923560609 0.0175529945385553 22.2498174145021 0 0.356147686444212 0.424954160677005
"6" "SD" "=~" "SD2" 0.570429425612331 0.0155406685719061 36.7055910737028 0 0.539970274915721 0.60088857630894
"7" "SD" "=~" "SD6" 0.449565627217801 0.0175259696028517 25.6513983194774 0 0.415215358002068 0.483915896433534
"8" "SD" "=~" "SD10" 0.643638426043236 0.0142414821966539 45.1946235058639 0 0.615725633851326 0.671551218235146
"9" "SD" "=~" "SD14" 0.44988470173879 0.0175211911418824 25.6766048664004 0 0.415543798134459 0.484225605343122
"10" "SD" "=~" "SD18" 0.417521317233954 0.0179911599397243 23.2070260412765 0 0.382259291711995 0.452783342755914
"11" "SD" "=~" "SD22" 0.419781542428907 0.0179593214754454 23.3740201712435 0 0.384581919150257 0.454981165707556
"12" "SD" "=~" "SD24" 0.473170980362217 0.0171649864698553 27.5660561220474 0 0.439528225086183 0.506813735638251
"13" "UP" "=~" "UP3" 0.503688870248491 0.0159647244735189 31.5501135697 0 0.472398585257288 0.534979155239693
"14" "UP" "=~" "UP7" 0.637857526277752 0.013390064043583 47.6366299818735 0 0.611613483001645 0.66410156955386
"15" "UP" "=~" "UP11" 0.66735064430912 0.0127756558809324 52.2361161359345 0 0.642310818903615 0.692390469714624
"16" "UP" "=~" "UP15" 0.476623628954899 0.016424568241809 29.0189441778838 0 0.444432066739333 0.508815191170465
"17" "UP" "=~" "UP19" 0.638882048294653 0.0133689021896328 47.7886694982396 0 0.612679481490134 0.665084615099172
"18" "UP" "=~" "UP20" 0.46232796133977 0.0166582723346151 27.7536560846754 0 0.429678347519265 0.494977575160276
"19" "UP" "=~" "UP25" 0.515306840502835 0.0157605320656043 32.6960307150694 0 0.484416765277062 0.546196915728608
