"FD" "SD" "UP" "FW" "FD1" "FD5" "FD9" "FD13" "FD17" "SD2" "SD6" "SD10" "SD14" "SD18" "SD22" "SD24" "UP3" "UP7" "UP11" "UP15" "UP19" "UP20" "UP25" "UP27" "FW4" "FW8" "FW12" "FW16" "FW21" "FW23" "FW26" "FD" "SD" "UP" "FW" "FD1" "FD5" "FD9" "FD13" "FD17" "SD2" "SD6" "SD10" "SD14" "SD18" "SD22" "SD24" "UP3" "UP7" "UP11" "UP15" "UP19" "UP20" "UP25" "UP27" "FW4" "FW8" "FW12" "FW16" "FW21" "FW23" "FW26"
"FD" "1" "0.457703021937799" "0.202051455300574" "-0.130773019558851" "0.824927117449935" "0.766812803527559" "0.861680276554859" "0.761472792954095" "0.554312966227718" "0.513595076682175" "0.179360969442251" "0.561810633066052" "0.106090086891138" "0.00207428078672694" "0.0835621957108938" "0.145849653771175" "0.378872580758396" "-0.103314458909451" "0.0749883971691134" "0.0693350265248383" "0.0766422053764035" "0.240915253882471" "0.183531105412913" "-0.00910505613069599" "0.0611496692450549" "-0.0816438012154487" "-0.25422497894282" "-0.0145914029352814" "-0.0826532521536565" "-0.148650567433293" "0.00336039494772734" "1" "0" "0" "0" "1" "1" "1" "1" "1" "1" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"SD" "0.457703021937799" "1" "0.130957943340399" "0.14052727169885" "0.376973129919287" "0.307080275891921" "0.447543283364999" "0.363696527336583" "0.223366923553094" "0.580187967764179" "0.524117615644482" "0.585060962174204" "0.487144646276132" "0.396460292757379" "0.411453574631807" "0.533189771009947" "0.333832283832734" "-0.0463871302017579" "-0.0137318870294015" "-0.0299687502263529" "0.105615879252904" "0.192671571130338" "0.168897576350613" "-0.112818754175934" "0.200602183811382" "0.048708994476671" "-0.0157375215438273" "0.0898163135051507" "0.0602664017789427" "0.0895625489770288" "0.0899882383711769" "0" "1" "0" "0" "0" "0" "0" "0" "0" "1" "1" "1" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"UP" "0.202051455300574" "0.130957943340399" "1" "0.188630821392353" "0.0962490527599616" "0.0770965316607271" "0.166554774106372" "0.146355823883997" "0.258088827556821" "0.101076574533545" "-0.126438543185388" "0.115607959220339" "-0.00552798975669716" "0.0893062177791339" "0.141786838443595" "0.17126373317819" "0.472173195084833" "0.518469150522179" "0.643264677048204" "0.578044472552225" "0.684565175086862" "0.50805287004642" "0.440706145692896" "0.621862539125487" "0.00375962143729918" "0.184872503821137" "0.0689366108442755" "0.110844443819132" "0.125929186176589" "0.0926282786271574" "0.150251613316259" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "1" "1" "1" "1" "0" "1" "0" "0" "0" "0" "0" "0" "0"
"FW" "-0.130773019558851" "0.14052727169885" "0.188630821392353" "1" "-0.11545831841821" "-0.180612243181956" "-0.068656630348933" "-0.146012546565707" "-0.00554758719375815" "-0.114701653650978" "0.112845601779044" "-0.133334704315277" "0.17284573609542" "0.145741231327496" "0.128130808800953" "0.19698687686392" "0.0148432510997852" "0.203242495664225" "0.126469997324884" "0.113867229961515" "0.120755342298535" "0.0417826462130352" "0.0539967220047004" "0.159987202122752" "0.490884084772511" "0.58834423131716" "0.578739831837134" "0.599562578366001" "0.551969229649173" "0.565930119877732" "0.553026051848176" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "1" "1" "1" "1" "1"
"FD1" "0.824927117449935" "0.376973129919287" "0.0962490527599616" "-0.11545831841821" "1" "0.57219750827292" "0.70321520609282" "0.534553158964822" "0.276466193182524" "0.426722160813391" "0.172411933840635" "0.418431897013989" "0.0777663597010203" "0.0300990910185246" "0.0526707326595049" "0.128247743165092" "0.309582352777653" "-0.1520899532701" "-0.00549202416079334" "0.00564479299037736" "0.0056733596112241" "0.155761115888466" "0.175313280931026" "-0.0460120168379149" "0.0361783433863184" "-0.0734699185090904" "-0.236044550546803" "-0.000110907456513648" "-0.0692845984577474" "-0.105823347287096" "-0.00412781287195484" "1" "0" "0" "0" "1" "1" "1" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"FD5" "0.766812803527559" "0.307080275891921" "0.0770965316607271" "-0.180612243181956" "0.57219750827292" "1" "0.610899246795866" "0.588839994534079" "0.19961236216138" "0.418802810892065" "0.1529879503111" "0.426603915462351" "0.0684783969360492" "-0.0653742903880632" "-0.0203378266115798" "0.0726744500949636" "0.252279745611974" "-0.103248956726728" "0.0266342659700504" "0.018662403479203" "-0.0218586088486607" "0.111358182205184" "0.114376839286447" "-0.0510522498003881" "0.0550507995848376" "-0.0982529839150436" "-0.266170468494775" "-0.0565256480709808" "-0.0645366148640935" "-0.180311543623382" "-0.107860996666037" "1" "0" "0" "0" "1" "1" "1" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"FD9" "0.861680276554859" "0.447543283364999" "0.166554774106372" "-0.068656630348933" "0.70321520609282" "0.610899246795866" "1" "0.59512402640083" "0.317854545009171" "0.438607384981264" "0.177448552649992" "0.543006036716945" "0.098219313234483" "0.0330557716812646" "0.0805938238629476" "0.192325449396596" "0.281888747052909" "-0.0774637500100685" "0.0485880596681787" "0.0509944121246753" "0.0920587360990086" "0.184570092589685" "0.175285711242984" "0.00504558692650951" "0.101774260617097" "-0.0377713076672992" "-0.186873348632226" "-0.0180126854954984" "-0.0490249879317979" "-0.129940097140828" "0.0443600153807887" "1" "0" "0" "0" "1" "1" "1" "1" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"FD13" "0.761472792954095" "0.363696527336583" "0.146355823883997" "-0.146012546565707" "0.534553158964822" "0.588839994534079" "0.59512402640083" "1" "0.217791966520984" "0.403660962932831" "0.103713464125776" "0.506319748716967" "0.0880081939747273" "-0.0247241768232549" "0.0904185910610019" "0.105641671387432" "0.285778138680089" "-0.0363756711477342" "0.0523758713768295" "0.0692012651715769" "0.0138344974790291" "0.147208790417484" "0.136007722372952" "-0.0145487114089384" "0.000630749527004826" "-0.0772220468677167" "-0.230276108906359" "-0.0296750194341261" "-0.0431853664371298" "-0.188403907070907" "-0.021076664100437" "1" "0" "0" "0" "1" "1" "1" "1" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"FD17" "0.554312966227718" "0.223366923553094" "0.258088827556821" "-0.00554758719375815" "0.276466193182524" "0.19961236216138" "0.317854545009171" "0.217791966520984" "1" "0.254985410685605" "0.0675251623044143" "0.233908529186417" "0.0658631862733059" "0.0176430126030329" "0.099012243612708" "0.0420572042647727" "0.290771418060971" "-0.0191331372436323" "0.153052282333487" "0.112091370789718" "0.175560837642661" "0.288687266245942" "0.0852020444569468" "0.0618943387630032" "0.0308353440595038" "-0.0306151859689926" "-0.0590736690626284" "0.0376694248018513" "-0.0827572291530326" "0.0195509692718474" "0.0756797604476136" "1" "0" "0" "0" "0" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"SD2" "0.513595076682175" "0.580187967764179" "0.101076574533545" "-0.114701653650978" "0.426722160813391" "0.418802810892065" "0.438607384981264" "0.403660962932831" "0.254985410685605" "1" "0.158614934025306" "0.507520897501732" "0.102923333663382" "-0.0143612829548645" "0.0846898165364331" "0.14507765175755" "0.343429968153695" "-0.115989556566098" "-0.00358657495058888" "0.0342472621802855" "0.00610511587222333" "0.1669653626929" "0.110753550260126" "-0.0910993042713057" "0.0678777852841118" "-0.112311752059795" "-0.191911926640781" "-0.0516339960103201" "-0.0451640843722214" "-0.0915951356476723" "-0.0225889765984754" "1" "1" "0" "0" "0" "0" "0" "0" "0" "1" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
