"NO","FD","SD","UP","FW","FD1","FD5","FD9","FD13","FD17","SD2","SD6","SD10","SD14","SD18","SD22","SD24","UP3","UP7","UP11","UP15","UP19","UP20","UP25","UP27","FW4","FW8","FW12","FW16","FW21","FW23","FW26"
1,2.4,3.71428571428571,3.25,4,2,2,2,4,2,4,5,3,3,4,3,4,4,3,4,2,4,4,1,4,3,4,5,5,5,4,2
1,2.2,3.28571428571429,1.625,3,2,2,2,2,3,4,4,1,4,4,3,3,1,2,1,2,2,3,1,1,3,4,3,2,2,4,3
1,3,2.57142857142857,2.5,4,3,1,3,4,4,2,1,2,3,4,3,3,2,4,4,1,3,2,1,3,4,4,4,4,4,4,4
1,3.2,3,3.25,2.85714285714286,3,3,3,3,4,3,3,2,3,4,3,3,4,3,4,3,4,3,2,3,2,4,2,4,2,4,2
1,2,2.28571428571429,2.5,3.57142857142857,2,2,2,2,2,2,4,2,3,2,1,2,2,3,3,2,2,4,2,2,5,5,4,2,2,4,3
1,1.8,2,3,2.57142857142857,2,2,2,2,1,2,3,2,2,2,2,1,4,4,2,2,4,2,2,4,2,2,3,2,2,4,3
1,2,3.57142857142857,2.5,3.28571428571429,2,2,2,2,2,4,3,2,4,4,4,4,2,4,2,2,2,4,2,2,3,4,4,2,3,4,3
1,2.4,2.85714285714286,2,2.85714285714286,2,2,2,3,3,3,3,3,3,3,2,3,2,2,2,2,2,2,2,2,2,3,2,3,2,4,4
1,2,2.57142857142857,2.375,3,2,2,2,2,2,3,3,3,3,2,2,2,2,3,2,2,2,3,2,3,3,3,3,3,3,3,3
1,2.8,3.14285714285714,4.25,2.85714285714286,1,3,3,4,3,3,2,3,2,4,4,4,5,5,4,2,4,5,5,4,3,3,2,2,4,4,2
1,2.4,2.85714285714286,2.875,3.28571428571429,2,2,3,2,3,4,2,2,4,2,3,3,3,3,2,2,3,5,1,4,3,5,1,4,3,5,2
1,1.2,2.14285714285714,2.125,2.42857142857143,1,1,1,1,2,2,2,1,3,2,2,3,2,2,2,2,2,4,2,1,1,4,1,1,2,4,4
1,2.6,3.14285714285714,3.375,3,2,2,2,4,3,3,4,2,4,4,3,2,4,4,4,4,4,3,2,2,3,4,3,3,2,4,2
1,1.8,4.42857142857143,3.125,2.57142857142857,1,2,2,3,1,5,5,4,5,4,4,4,4,2,3,2,4,5,4,1,2,4,2,2,2,4,2
