"lhs" "op" "rhs" "est.std" "se" "z" "pvalue" "ci.lower" "ci.upper"
"1" "FD" "=~" "FD1" 0.723733647894293 0.0171480010982798 42.2051318836743 0 0.690124183334811 0.757343112453774
"2" "FD" "=~" "FD5" 0.586235826607854 0.0208971384571398 28.0534020392422 0 0.545278187851913 0.627193465363795
"3" "FD" "=~" "FD9" 0.80451840112864 0.0152697374014164 52.6871143870498 0 0.774590265768479 0.8344465364888
"4" "FD" "=~" "FD13" 0.574256514955604 0.0212232876435452 27.0578491231192 0 0.532659635540722 0.615853394370487
"5" "FD" "=~" "FD17" 0.325260074398524 0.026736695734335 12.165305602099 0 0.272857113693621 0.377663035103426
"6" "SD" "=~" "SD2" 0.572568421959417 0.0243778934667725 23.4871984628138 0 0.524788628745589 0.620348215173246
"7" "SD" "=~" "SD6" 0.191708162304825 0.0305770296886608 6.26967904524481 3.61793039971303e-10 0.131778285360838 0.251638039248812
"8" "SD" "=~" "SD10" 0.651936093077998 0.0229290962766265 28.4326990131996 0 0.606995890177759 0.696876295978238
"9" "SD" "=~" "SD14" 0.405764080073206 0.0276380153894492 14.6813754300212 0 0.351594565305722 0.459933594840691
"10" "SD" "=~" "SD18" 0.212525027277893 0.0303777939091895 6.9960652150452 2.63256083599117e-12 0.152985645286101 0.272064409269684
"11" "SD" "=~" "SD22" 0.463773092001353 0.0265504102947066 17.4676431306908 0 0.411735244048967 0.51581093995374
"12" "SD" "=~" "SD24" 0.469445443878041 0.026439534813356 17.7554350782639 0 0.41762490787587 0.521265979880212
"13" "UP" "=~" "UP3" 0.307712421746705 0.0283051713093251 10.8712439286785 0 0.252235305404191 0.363189538089219
"14" "UP" "=~" "UP7" 0.493525727477164 0.0247929386388803 19.9058987990724 0 0.444932460674047 0.542118994280281
"15" "UP" "=~" "UP11" 0.557114558222521 0.0233195320993159 23.8904689789579 0 0.511409115171536 0.602820001273506
"16" "UP" "=~" "UP15" 0.643069893594285 0.021265241203585 30.2404232069502 0 0.601390786712701 0.684749000475869
"17" "UP" "=~" "UP19" 0.59212486381257 0.0224807785401015 26.3391618202337 0 0.54806334752955 0.63618638009559
"18" "UP" "=~" "UP20" 0.288920398895172 0.0285781197735417 10.109846315455 0 0.232908313393159 0.344932484397186
"19" "UP" "=~" "UP25" 0.37411187291916 0.0272129828505992 13.7475511219426 0 0.32077540662008 0.427448339218241
"20" "UP" "=~" "UP27" 0.57881846187146 0.022800479562704 25.386240683212 0 0.534130343098318 0.623506580644601
"21" "FW" "=~" "FW4" 0.424555182725377 0.0271862676479755 15.6165306772808 0 0.371271077261278 0.477839288189475
"22" "FW" "=~" "FW8" 0.602292876001006 0.0236112590924697 25.5087148737906 0 0.556015658550121 0.64857009345189
"23" "FW" "=~" "FW12" 0.498857633144614 0.0257240858899844 19.3926281881543 0 0.448439351265029 0.549275915024198
"24" "FW" "=~" "FW16" 0.634435418026569 0.0229959181069505 27.5890449372757 0 0.589364246745513 0.679506589307624
"25" "FW" "=~" "FW21" 0.466249348171458 0.0263816548916179 17.673241124824 0 0.414542254731321 0.517956441611594
"26" "FW" "=~" "FW23" 0.449965662537858 0.0267014778982534 16.8517137610309 0 0.397631727523289 0.502299597552427
"27" "FW" "=~" "FW26" 0.29432041624207 0.0293160237732257 10.0395748931979 0 0.236862065476628 0.351778767007513
"28" "FD1" "~~" "FD1" 0.47620960690562 0.0248211707911108 19.1856222622732 0 0.427561006100926 0.524858207710315
"29" "FD5" "~~" "FD5" 0.656327555601406 0.0245013025595066 26.7874556467917 0 0.608305885010454 0.704349226192358
"30" "FD9" "~~" "FD9" 0.352750142245417 0.0245695696726441 14.3571966031693 0 0.304594670571387 0.400905613919447
"31" "FD13" "~~" "FD13" 0.670229455031044 0.0243752225011922 27.4963420333194 0 0.622454896813557 0.718004013248531
"32" "FD17" "~~" "FD17" 0.894205884002267 0.0173927597169376 51.4125359376673 0 0.86011670136531 0.928295066639224
"33" "SD2" "~~" "SD2" 0.672165402174903 0.0279160240934834 24.0781208643465 0 0.617451000360123 0.726879803989682
"34" "SD6" "~~" "SD6" 0.963247980505707 0.0117237328873879 82.1622250999891 0 0.940269886282059 0.986226074729355
"35" "SD10" "~~" "SD10" 0.574979330542196 0.0298966107285826 19.2322579894479 0 0.51638305025436 0.633575610830032
"36" "SD14" "~~" "SD14" 0.835355511322345 0.0224290281404059 37.2443917807323 0 0.791395423958914 0.879315598685775
"37" "SD18" "~~" "SD18" 0.954833112780531 0.0129120833609623 73.9488033098763 0 0.929525894427666 0.980140331133396
"38" "SD22" "~~" "SD22" 0.784914519135504 0.0246267317426049 31.8724598675667 0 0.736647011863069 0.833182026407939
"39" "SD24" "~~" "SD24" 0.779620975222149 0.0248238385095968 31.4061411139438 0 0.730967145785301 0.828274804658997
"40" "UP3" "~~" "UP3" 0.905313065502778 0.0174197061752327 51.9706277704011 0 0.871171068778052 0.939455062227504
"41" "UP7" "~~" "UP7" 0.756432356318136 0.0244719060852285 30.9102345229547 0 0.708468301758041 0.80439641087823
"42" "UP11" "~~" "UP11" 0.689623369016526 0.0259833011526311 26.5410220574183 0 0.638697034557911 0.740549703475141
"43" "UP15" "~~" "UP15" 0.586461111952635 0.0273500726871872 21.4427624621041 0 0.532855954511195 0.640066269394074
"44" "UP19" "~~" "UP19" 0.649388145654946 0.0266228555937233 24.3921296635079 0 0.597208307525637 0.701567983784254
