"FD" "SD" "UP" "FW" "FD1" "FD5" "FD9" "FD13" "FD17" "SD2" "SD6" "SD10" "SD14" "SD18" "SD22" "SD24" "UP3" "UP7" "UP11" "UP15" "UP19" "UP20" "UP25" "UP27" "FW4" "FW8" "FW12" "FW16" "FW21" "FW23" "FW26" "FD" "SD" "UP" "FW" "FD1" "FD5" "FD9" "FD13" "FD17" "SD2" "SD6" "SD10" "SD14" "SD18" "SD22" "SD24" "UP3" "UP7" "UP11" "UP15" "UP19" "UP20" "UP25" "UP27" "FW4" "FW8" "FW12" "FW16" "FW21" "FW23" "FW26"
"FD" "1" "0.191999132344267" "0.199114324539574" "-0.00907505286618965" "0.671701052649182" "0.722542630737752" "0.763955904942509" "0.694376335631045" "0.634618027753845" "0.160397239394434" "0.0130769075442491" "0.204814097369578" "0.0290813595817008" "0.111034425088322" "0.0884855779231897" "0.120709063725396" "0.132167296499427" "0.0549644000120657" "0.194887722199772" "0.17077807541797" "0.144299120684171" "0.207829030872562" "0.211173261812882" "-0.16372751000995" "-0.0757871595344403" "-0.0160624612185397" "0.00346731995149948" "0.0439052886787918" "-0.0877843162093862" "0.0341851026210374" "0.0665810467908472" "1" "0" "0" "0" "1" "1" "1" "1" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"SD" "0.191999132344267" "1" "0.11530225770845" "0.190333256984187" "0.160570779514435" "0.158153961397793" "0.142201653877872" "0.152377011393565" "0.0599370007087221" "0.621424099100792" "0.432139070535107" "0.558392965352719" "0.532857208020486" "0.468643949941104" "0.586530229330867" "0.555581710256028" "0.142042813001734" "0.0276491877676138" "0.0728041213834623" "0.0109152619350637" "0.0800072418923758" "0.136202720828942" "0.135858429285794" "-0.0595932074167326" "0.108620869233289" "0.175079902605844" "0.0559996318172966" "0.127025417814232" "0.0702156188925452" "0.15690701334267" "0.106981811265836" "0" "1" "0" "0" "0" "0" "0" "0" "0" "1" "0" "1" "1" "0" "1" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"UP" "0.199114324539574" "0.11530225770845" "1" "0.119967883272913" "0.172153923143055" "0.0843374475387849" "0.0936192821166767" "0.216440118228105" "0.124579009203039" "0.0368551623451228" "-0.0235344142103737" "-0.0607700165018419" "0.165830234204151" "0.111730114116776" "0.0929800694846848" "0.107162699297518" "0.556765487286334" "0.553704849194936" "0.68347147071321" "0.50522750196685" "0.711593641270846" "0.522180005196654" "0.606567244015809" "0.491875366634319" "-0.0187932942938003" "0.0698252822368683" "0.0830549107104357" "0.111747973672084" "0.0715496826002546" "0.0987302176042115" "0.0889475791551073" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "1" "1" "1" "1" "1" "1" "0" "0" "0" "0" "0" "0" "0" "0"
"FW" "-0.00907505286618965" "0.190333256984187" "0.119967883272913" "1" "-0.0575159373562894" "-0.0719541810856459" "0.0473689945142337" "0.0277394881638436" "0.019782595389948" "-0.00603390262419567" "0.121986791591635" "0.0209625611685258" "0.209929620274625" "0.2018119579271" "0.120471112276236" "0.0396268507108908" "-0.00829020806035106" "0.12957017960931" "0.0432213254197177" "0.170075201863786" "0.122452230464099" "0.00557255315644433" "0.0504517317058518" "0.0421438351326325" "0.586159294750827" "0.590375191176813" "0.586160765550358" "0.658152430363922" "0.637719980914369" "0.60356761988942" "0.519115063698482" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "1" "1" "1" "1" "1" "1"
"FD1" "0.671701052649182" "0.160570779514435" "0.172153923143055" "-0.0575159373562894" "1" "0.378427722926559" "0.340515185472337" "0.336454781360574" "0.280776300375499" "0.182335305132075" "0.0137615620462873" "0.111010599449464" "0.026482313216113" "0.0647840320069647" "0.102783124629072" "0.104991350127247" "0.163717057695076" "0.00682544813689766" "0.172793340145756" "0.0844818960094323" "0.0912052728122143" "0.235160138067192" "0.194563972521577" "-0.123478003773763" "-0.106665071615446" "-0.0696099359366951" "-0.00403323735862395" "-0.00607301090464836" "-0.115731950942167" "-0.013788255486157" "0.0805380956450748" "1" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"FD5" "0.722542630737752" "0.158153961397793" "0.0843374475387849" "-0.0719541810856459" "0.378427722926559" "1" "0.530194127582761" "0.395623650773801" "0.248092849844039" "0.139326660120368" "0.0143752059314837" "0.20267518942283" "0.0135098510240621" "0.0658788362304987" "0.0662614718279352" "0.0990912350988702" "0.0542173390998077" "0.0322263744259301" "0.06590123069041" "0.0854199017056403" "0.0928610356324341" "0.0806478168345852" "0.13940095358433" "-0.138456508062908" "-0.0521741616034223" "-0.0458933704747075" "-0.117252144332493" "0.0255845616414352" "-0.0552946100766115" "-0.00880331178297303" "-0.0472267779133215" "1" "0" "0" "0" "0" "1" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"FD9" "0.763955904942509" "0.142201653877872" "0.0936192821166767" "0.0473689945142337" "0.340515185472337" "0.530194127582761" "1" "0.427924887092195" "0.375606866524023" "0.072610637223812" "0.0494347567905133" "0.189972148812944" "0.00459347641381431" "0.0919394395961101" "0.0475542327243622" "0.0824703970715509" "0.040010010432808" "0.019423135352128" "0.113356364561073" "0.124453148328295" "0.0823415809673116" "0.134181543699855" "0.122673751595873" "-0.176919000705958" "0.00678065099080296" "0.028142103310122" "0.0639057841114979" "0.0764847931392783" "-0.0255295149318609" "0.0263682439949628" "0.0248923629224609" "1" "0" "0" "0" "0" "1" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"FD13" "0.694376335631045" "0.152377011393565" "0.216440118228105" "0.0277394881638436" "0.336454781360574" "0.395623650773801" "0.427924887092195" "1" "0.268501538893119" "0.13546890522963" "0.0107118624861721" "0.143303606582534" "0.0753308774497987" "0.0624259499504214" "0.0629974585638667" "0.0868017244424037" "0.1139533542372" "0.0931987699333605" "0.220024448991074" "0.170507384104854" "0.154169333422954" "0.124495275108885" "0.175433760531351" "-0.0356676144038757" "-0.0278249791291667" "0.0400036965982464" "0.0477798829647116" "-0.0138620801527817" "-0.056407041004418" "0.0533352280197882" "0.0810108210464881" "1" "0" "0" "0" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"FD17" "0.634618027753845" "0.0599370007087221" "0.124579009203039" "0.019782595389948" "0.280776300375499" "0.248092849844039" "0.375606866524023" "0.268501538893119" "1" "0.0329065334505224" "-0.0396826064009745" "0.0732534822115254" "-0.0170174523741462" "0.100128503979713" "0.0297218804067444" "0.0491500375549931" "0.0856815983045401" "0.0398150682967768" "0.10471530187602" "0.12849759702832" "0.0826260182118283" "0.145004432247253" "0.104389813492766" "-0.0976170078965657" "-0.081189428370964" "-0.00892022859479042" "0.0164847130686066" "0.0692111709900991" "-0.0518906566048593" "0.0592622097781482" "0.0859576060822878" "1" "0" "0" "0" "0" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"SD2" "0.160397239394434" "0.621424099100792" "0.0368551623451228" "-0.00603390262419567" "0.182335305132075" "0.139326660120368" "0.072610637223812" "0.13546890522963" "0.0329065334505224" "1" "0.144519080719362" "0.471515057718542" "0.194971964100952" "0.0974312813865764" "0.208551389003403" "0.22382995718059" "0.118308922386356" "0.00778662215628377" "0.0157257483458971" "-0.0529189698896976" "-0.0339440432387176" "0.108427071198167" "0.0698103504359955" "-0.0585586559824068" "-0.0201971409365265" "0.0389248616465401" "-0.0738083505561945" "0.0239266342821461" "-0.052356223362724" "0.0598174827623408" "0.00381446464270793" "0" "1" "0" "0" "0" "0" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"SD6" "0.0130769075442491" "0.432139070535107" "-0.0235344142103737" "0.121986791591635" "0.0137615620462873" "0.0143752059314837" "0.0494347567905133" "0.0107118624861721" "-0.0396826064009745" "0.144519080719362" "1" "0.0971660344567111" "0.109383066192188" "0.134342039230601" "0.0781481444548598" "0.0105021590834956" "0.032362381485109" "-0.0467710515788561" "0.0260075144119188" "-0.0258036093995397" "0.00767344708298701" "-0.0870504458402923" "0.068933187398635" "-0.0780558982166288" "0.0991295200022418" "0.0737719315660273" "0.102490493773676" "0.0636138615278389" "0.12365760885136" "-0.000656943307519727" "0.0417534202852465" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"SD10" "0.204814097369578" "0.558392965352719" "-0.0607700165018419" "0.0209625611685258" "0.111010599449464" "0.20267518942283" "0.189972148812944" "0.143303606582534" "0.0732534822115254" "0.471515057718542" "0.0971660344567111" "1" "0.111095524073399" "0.0984874435472788" "0.145731914197658" "0.212750883409267" "0.00859198920356141" "-0.0841016641713227" "-0.0507127594743375" "-0.0754397150242918" "-0.0328783800064502" "0.0649024696848215" "0.0419183863829866" "-0.133747275651139" "0.0339826546451799" "0.0849341344960169" "-0.0884557560812635" "0.036652172604495" "-0.0303268138744893" "0.0856618220698571" "-0.0295401086536822" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"SD14" "0.0290813595817008" "0.532857208020486" "0.165830234204151" "0.209929620274625" "0.026482313216113" "0.0135098510240621" "0.00459347641381431" "0.0753308774497987" "-0.0170174523741462" "0.194971964100952" "0.109383066192188" "0.111095524073399" "1" "0.130525367191151" "0.271852116769556" "0.187102968511548" "0.145758757124528" "0.0689943511769455" "0.112937520215604" "0.0654057515805856" "0.160177330191246" "0.0924025786517883" "0.0692831584098598" "0.0459337159359092" "0.0907654143033434" "0.206630771777842" "0.12555217208982" "0.112620444130073" "0.0467180676788644" "0.163333929567299" "0.141231839278875" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"SD18" "0.111034425088322" "0.468643949941104" "0.111730114116776" "0.2018119579271" "0.0647840320069647" "0.0658788362304987" "0.0919394395961101" "0.0624259499504214" "0.100128503979713" "0.0974312813865764" "0.134342039230601" "0.0984874435472788" "0.130525367191151" "1" "0.170502275657328" "0.107817879326438" "0.0646275272383094" "0.0650042078238892" "0.131289829748408" "-0.00112973016448784" "0.125691855957334" "0.114032843818653" "0.0711335046040539" "-0.0515573635940578" "0.0986408862718577" "0.132809206630325" "0.152140480262476" "0.116560829776576" "0.0998235862034502" "0.148744575378852" "0.100078460688918" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"SD22" "0.0884855779231897" "0.586530229330867" "0.0929800694846848" "0.120471112276236" "0.102783124629072" "0.0662614718279352" "0.0475542327243622" "0.0629974585638667" "0.0297218804067444" "0.208551389003403" "0.0781481444548598" "0.145731914197658" "0.271852116769556" "0.170502275657328" "1" "0.348618816926149" "0.105273543967633" "0.0412031575728758" "0.00559668839964567" "0.056821492174144" "0.0460559221718932" "0.117828732823546" "0.0546277942483385" "0.00648197532407254" "0.0669312046196008" "0.118448246887232" "0.033867343261496" "0.0827768632484821" "0.0362908797809917" "0.077284109396142" "0.0901513468729879" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"SD24" "0.120709063725396" "0.555581710256028" "0.107162699297518" "0.0396268507108908" "0.104991350127247" "0.0990912350988702" "0.0824703970715509" "0.0868017244424037" "0.0491500375549931" "0.22382995718059" "0.0105021590834956" "0.212750883409267" "0.187102968511548" "0.107817879326438" "0.348618816926149" "1" "0.0572870325424262" "0.049233250597389" "0.0259706297163596" "0.0731275016738144" "0.0248265744480904" "0.107324702134837" "0.13100698469152" "0.044626262784023" "0.0350457656270657" "0.00298884170250894" "-0.0517609875195667" "0.0388285282916091" "0.0311734502770792" "0.0575407638866633" "0.0507725927915747" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"UP3" "0.132167296499427" "0.142042813001734" "0.556765487286334" "-0.00829020806035106" "0.163717057695076" "0.0542173390998077" "0.040010010432808" "0.1139533542372" "0.0856815983045401" "0.118308922386356" "0.032362381485109" "0.00859198920356141" "0.145758757124528" "0.0646275272383094" "0.105273543967633" "0.0572870325424262" "1" "0.120788896578886" "0.334165039007466" "0.0845473711470742" "0.286255663348976" "0.305218639427981" "0.336001790742209" "0.0634863701522913" "-0.0932456505555912" "0.0213928274485377" "-0.0187548230152313" "-0.00581759540472862" "-0.0278322976236063" "0.052807201992156" "0.0433962090947752" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"UP7" "0.0549644000120657" "0.0276491877676138" "0.553704849194936" "0.12957017960931" "0.00682544813689766" "0.0322263744259301" "0.019423135352128" "0.0931987699333605" "0.0398150682967768" "0.00778662215628377" "-0.0467710515788561" "-0.0841016641713227" "0.0689943511769455" "0.0650042078238892" "0.0412031575728758" "0.049233250597389" "0.120788896578886" "1" "0.203736675715289" "0.192407860353495" "0.287665396064728" "0.132214769592637" "0.159179121333479" "0.37838976937874" "0.0246767482612113" "0.0977403693527706" "0.0472400893850829" "0.141602741462648" "0.0538215584746615" "0.12016766509271" "0.0605394180004039" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"UP11" "0.194887722199772" "0.0728041213834623" "0.68347147071321" "0.0432213254197177" "0.172793340145756" "0.06590123069041" "0.113356364561073" "0.220024448991074" "0.10471530187602" "0.0157257483458971" "0.0260075144119188" "-0.0507127594743375" "0.112937520215604" "0.131289829748408" "0.00559668839964567" "0.0259706297163596" "0.334165039007466" "0.203736675715289" "1" "0.278605610863742" "0.481033872052844" "0.306299957884032" "0.409470502169192" "0.153746873973334" "-0.0135894393702606" "-0.00464132592678332" "0.074289198055814" "-0.006957962925835" "0.0307780706719297" "0.0461027775348234" "0.0576708519723555" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
